Rango Edad,Cantidad Personas,Rango salarial (SMLV),Genero,Tipo Pension
20-24,12,Entre 7 y 10,M,Sobrevivientes
25-29,4,Entre 7 y 10,M,Sobrevivientes
30-34,3,Entre 7 y 10,M,Sobrevivientes
35-39,7,Entre 7 y 10,M,Sobrevivientes
40-44,3,Entre 7 y 10,M,Sobrevivientes
45-49,12,Entre 7 y 10,M,Sobrevivientes
50-54,11,Entre 7 y 10,M,Sobrevivientes
55-59,20,Entre 7 y 10,M,Sobrevivientes
60-64,18,Entre 7 y 10,M,Sobrevivientes
65-69,22,Entre 7 y 10,M,Sobrevivientes
70-74,20,Entre 7 y 10,M,Sobrevivientes
75-79,25,Entre 7 y 10,M,Sobrevivientes
80-84,16,Entre 7 y 10,M,Sobrevivientes
85-89,12,Entre 7 y 10,M,Sobrevivientes
90-94,0,Entre 7 y 10,M,Sobrevivientes
95-100,0,Entre 7 y 10,M,Sobrevivientes
100-104,0,Entre 7 y 10,M,Sobrevivientes
0-19,7,Entre 7 y 10,F,Sobrevivientes
20-24,10,Entre 7 y 10,F,Sobrevivientes
25-29,4,Entre 7 y 10,F,Sobrevivientes
30-34,4,Entre 7 y 10,F,Sobrevivientes
35-39,13,Entre 7 y 10,F,Sobrevivientes
40-44,17,Entre 7 y 10,F,Sobrevivientes
45-49,59,Entre 7 y 10,F,Sobrevivientes
50-54,87,Entre 7 y 10,F,Sobrevivientes
55-59,160,Entre 7 y 10,F,Sobrevivientes
60-64,248,Entre 7 y 10,F,Sobrevivientes
65-69,375,Entre 7 y 10,F,Sobrevivientes
70-74,392,Entre 7 y 10,F,Sobrevivientes
75-79,347,Entre 7 y 10,F,Sobrevivientes
80-84,268,Entre 7 y 10,F,Sobrevivientes
85-89,96,Entre 7 y 10,F,Sobrevivientes
90-94,29,Entre 7 y 10,F,Sobrevivientes
95-100,4,Entre 7 y 10,F,Sobrevivientes
100-104,1,Entre 7 y 10,F,Sobrevivientes
0-19,2,Entre 10 y 13,M,Sobrevivientes
20-24,2,Entre 10 y 13,M,Sobrevivientes
25-29,0,Entre 10 y 13,M,Sobrevivientes
30-34,0,Entre 10 y 13,M,Sobrevivientes
35-39,1,Entre 10 y 13,M,Sobrevivientes
40-44,3,Entre 10 y 13,M,Sobrevivientes
45-49,5,Entre 10 y 13,M,Sobrevivientes
50-54,5,Entre 10 y 13,M,Sobrevivientes
55-59,2,Entre 10 y 13,M,Sobrevivientes
60-64,7,Entre 10 y 13,M,Sobrevivientes
65-69,13,Entre 10 y 13,M,Sobrevivientes
70-74,11,Entre 10 y 13,M,Sobrevivientes
75-79,5,Entre 10 y 13,M,Sobrevivientes
80-84,2,Entre 10 y 13,M,Sobrevivientes
85-89,0,Entre 10 y 13,M,Sobrevivientes
90-94,0,Entre 10 y 13,M,Sobrevivientes
95-100,0,Entre 10 y 13,M,Sobrevivientes
100-104,0,Entre 10 y 13,M,Sobrevivientes
0-19,2,Entre 10 y 13,F,Sobrevivientes
20-24,3,Entre 10 y 13,F,Sobrevivientes
25-29,1,Entre 10 y 13,F,Sobrevivientes
30-34,4,Entre 10 y 13,F,Sobrevivientes
35-39,2,Entre 10 y 13,F,Sobrevivientes
40-44,8,Entre 10 y 13,F,Sobrevivientes
45-49,26,Entre 10 y 13,F,Sobrevivientes
50-54,32,Entre 10 y 13,F,Sobrevivientes
55-59,63,Entre 10 y 13,F,Sobrevivientes
60-64,96,Entre 10 y 13,F,Sobrevivientes
65-69,148,Entre 10 y 13,F,Sobrevivientes
70-74,184,Entre 10 y 13,F,Sobrevivientes
75-79,174,Entre 10 y 13,F,Sobrevivientes
80-84,130,Entre 10 y 13,F,Sobrevivientes
85-89,43,Entre 10 y 13,F,Sobrevivientes
90-94,10,Entre 10 y 13,F,Sobrevivientes
95-100,2,Entre 10 y 13,F,Sobrevivientes
100-104,1,Entre 10 y 13,F,Sobrevivientes
0-19,1,Entre 13 y 16,M,Sobrevivientes
20-24,1,Entre 13 y 16,M,Sobrevivientes
25-29,1,Entre 13 y 16,M,Sobrevivientes
30-34,0,Entre 13 y 16,M,Sobrevivientes
35-39,0,Entre 13 y 16,M,Sobrevivientes
40-44,2,Entre 13 y 16,M,Sobrevivientes
45-49,0,Entre 13 y 16,M,Sobrevivientes
50-54,2,Entre 13 y 16,M,Sobrevivientes
55-59,2,Entre 13 y 16,M,Sobrevivientes
60-64,5,Entre 13 y 16,M,Sobrevivientes
65-69,1,Entre 13 y 16,M,Sobrevivientes
70-74,3,Entre 13 y 16,M,Sobrevivientes
75-79,4,Entre 13 y 16,M,Sobrevivientes
80-84,0,Entre 13 y 16,M,Sobrevivientes
85-89,0,Entre 13 y 16,M,Sobrevivientes
90-94,0,Entre 13 y 16,M,Sobrevivientes
95-100,0,Entre 13 y 16,M,Sobrevivientes
100-104,0,Entre 13 y 16,M,Sobrevivientes
0-19,0,Entre 13 y 16,F,Sobrevivientes
20-24,2,Entre 13 y 16,F,Sobrevivientes
25-29,0,Entre 13 y 16,F,Sobrevivientes
30-34,1,Entre 13 y 16,F,Sobrevivientes
35-39,2,Entre 13 y 16,F,Sobrevivientes
40-44,4,Entre 13 y 16,F,Sobrevivientes
45-49,4,Entre 13 y 16,F,Sobrevivientes
50-54,10,Entre 13 y 16,F,Sobrevivientes
55-59,25,Entre 13 y 16,F,Sobrevivientes
60-64,46,Entre 13 y 16,F,Sobrevivientes
65-69,44,Entre 13 y 16,F,Sobrevivientes
70-74,54,Entre 13 y 16,F,Sobrevivientes
75-79,45,Entre 13 y 16,F,Sobrevivientes
80-84,28,Entre 13 y 16,F,Sobrevivientes
85-89,11,Entre 13 y 16,F,Sobrevivientes
90-94,2,Entre 13 y 16,F,Sobrevivientes
95-100,1,Entre 13 y 16,F,Sobrevivientes
100-104,0,Entre 13 y 16,F,Sobrevivientes
0-19,0,Mayor a 16,M,Sobrevivientes
20-24,0,Mayor a 16,M,Sobrevivientes
25-29,1,Mayor a 16,M,Sobrevivientes
30-34,1,Mayor a 16,M,Sobrevivientes
35-39,0,Mayor a 16,M,Sobrevivientes
40-44,1,Mayor a 16,M,Sobrevivientes
45-49,0,Mayor a 16,M,Sobrevivientes
50-54,1,Mayor a 16,M,Sobrevivientes
55-59,0,Mayor a 16,M,Sobrevivientes
60-64,0,Mayor a 16,M,Sobrevivientes
65-69,2,Mayor a 16,M,Sobrevivientes
70-74,4,Mayor a 16,M,Sobrevivientes
75-79,0,Mayor a 16,M,Sobrevivientes
80-84,0,Mayor a 16,M,Sobrevivientes
85-89,1,Mayor a 16,M,Sobrevivientes
90-94,1,Mayor a 16,M,Sobrevivientes
95-100,0,Mayor a 16,M,Sobrevivientes
100-104,0,Mayor a 16,M,Sobrevivientes
0-19,0,Mayor a 16,F,Sobrevivientes
20-24,0,Mayor a 16,F,Sobrevivientes
25-29,0,Mayor a 16,F,Sobrevivientes
30-34,0,Mayor a 16,F,Sobrevivientes
35-39,0,Mayor a 16,F,Sobrevivientes
40-44,1,Mayor a 16,F,Sobrevivientes
45-49,2,Mayor a 16,F,Sobrevivientes
50-54,9,Mayor a 16,F,Sobrevivientes
55-59,11,Mayor a 16,F,Sobrevivientes
60-64,17,Mayor a 16,F,Sobrevivientes
65-69,20,Mayor a 16,F,Sobrevivientes
70-74,16,Mayor a 16,F,Sobrevivientes
75-79,6,Mayor a 16,F,Sobrevivientes
80-84,1,Mayor a 16,F,Sobrevivientes
85-89,5,Mayor a 16,F,Sobrevivientes
90-94,2,Mayor a 16,F,Sobrevivientes
95-100,0,Mayor a 16,F,Sobrevivientes
100-104,0,Mayor a 16,F,Sobrevivientes
